Input_0,Input_1,Input_2,Output
1,1,0,1
0,1,1,0
1,1,1,1
0,0,1,0
0,1,1,0
0,0,1,0
0,0,0,0
1,0,0,1
1,0,0,1
0,1,0,0
0,0,1,0
1,1,1,1
1,0,0,1
0,1,1,0
1,1,1,1
1,0,1,1
1,0,0,1
1,0,0,1
1,1,1,1
0,1,0,0
0,1,1,0
0,1,1,0
1,1,0,1
0,1,1,0
0,0,0,0
0,1,1,0
1,0,1,1
0,0,1,0
1,0,1,1
1,0,1,1
0,0,1,0
1,1,0,1
1,1,0,1
1,1,1,1
1,0,0,1
0,0,0,0
1,1,1,1
1,1,1,1
1,0,0,1
0,0,0,0
0,1,1,0
1,1,1,1
1,0,0,1
1,1,0,1
0,1,0,0
0,0,1,0
1,1,1,1
1,0,1,1
0,1,0,0
0,0,1,0
1,1,0,1
1,0,0,1
0,0,1,0
0,1,0,0
1,1,1,1
0,0,0,0
0,0,0,0
1,0,0,1
1,0,0,1
1,1,0,1
0,0,1,0
0,0,0,0
0,1,0,0
0,0,0,0
1,1,0,1
0,1,1,0
1,0,0,1
0,0,0,0
1,1,1,1
0,1,1,0
0,0,0,0
1,1,0,1
1,1,1,1
0,1,1,0
1,1,0,1
1,0,0,1
1,0,1,1
0,1,1,0
0,1,1,0
0,1,1,0
1,0,1,1
0,1,0,0
1,1,1,1
1,1,1,1
0,0,1,0
1,0,0,1
0,1,1,0
0,0,0,0
0,0,1,0
1,1,1,1
1,1,1,1
0,0,1,0
0,0,0,0
1,0,1,1
0,1,0,0
0,0,0,0
1,1,0,1
0,0,1,0
0,1,1,0
0,0,1,0
0,1,0,0
0,0,1,0
0,1,0,0
1,1,1,1
0,1,0,0
1,1,1,1
1,0,0,1
1,0,0,1
0,0,1,0
1,0,1,1
1,0,0,1
1,1,1,1
1,1,1,1
1,0,0,1
0,0,0,0
0,0,1,0
0,0,0,0
0,0,1,0
1,1,1,1
0,0,0,0
1,0,1,1
0,1,0,0
0,0,0,0
0,0,1,0
0,0,0,0
1,0,1,1
1,0,0,1
1,1,0,1
1,0,1,1
0,1,1,0
0,0,1,0
0,0,0,0
0,0,1,0
1,0,0,1
1,1,1,1
1,0,1,1
0,1,0,0
0,1,0,0
1,0,1,1
0,0,0,0
0,1,0,0
0,1,1,0
1,1,1,1
0,0,0,0
1,0,1,1
1,0,1,1
1,0,0,1
1,1,0,1
1,1,1,1
1,0,1,1
0,0,0,0
0,0,1,0
0,0,0,0
0,1,0,0
0,1,0,0
1,1,0,1
1,0,1,1
0,1,0,0
0,0,0,0
1,0,1,1
1,1,1,1
1,0,1,1
0,1,0,0
0,0,0,0
1,1,0,1
0,0,0,0
1,0,0,1
1,1,1,1
1,0,1,1
1,0,1,1
0,0,1,0
0,0,0,0
1,1,1,1
1,0,0,1
0,0,1,0
0,1,1,0
0,0,1,0
1,0,1,1
1,0,0,1
0,0,1,0
0,0,0,0
0,1,0,0
1,0,0,1
1,1,1,1
0,0,1,0
0,0,0,0
0,0,1,0
1,1,1,1
1,0,0,1
1,1,0,1
0,0,0,0
1,0,0,1
0,1,0,0
1,0,0,1
0,0,1,0
0,0,1,0
1,0,1,1
1,1,1,1
1,0,0,1
0,0,0,0
0,0,0,0
1,0,0,1
0,1,0,0
1,0,1,1
0,0,1,0
1,1,1,1
1,1,0,1
0,0,1,0
0,0,1,0
0,1,1,0
0,0,0,0
1,1,0,1
1,1,0,1
0,0,0,0
1,0,0,1
1,0,0,1
0,0,0,0
0,1,1,0
0,0,0,0
0,0,0,0
1,1,0,1
1,0,0,1
1,0,1,1
1,1,0,1
0,0,1,0
1,1,1,1
1,0,1,1
0,1,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,1,1
0,0,1,0
1,0,0,1
1,1,1,1
0,1,1,0
0,1,1,0
1,1,0,1
1,0,1,1
1,1,1,1
0,1,1,0
1,0,0,1
1,0,1,1
1,0,0,1
1,0,0,1
0,0,0,0
0,1,1,0
1,0,0,1
1,0,1,1
0,0,1,0
1,1,0,1
1,0,0,1
0,1,1,0
1,1,0,1
1,0,1,1
0,0,0,0
0,1,0,0
0,0,1,0
1,1,1,1
0,0,0,0
1,0,0,1
0,1,1,0
0,0,0,0
1,1,0,1
1,1,1,1
1,1,1,1
0,1,1,0
0,0,1,0
1,1,1,1
1,1,0,1
0,0,0,0
1,1,1,1
1,1,1,1
0,0,1,0
1,1,0,1
0,1,1,0
0,0,0,0
0,1,1,0
0,0,0,0
0,1,0,0
1,1,0,1
0,0,0,0
0,1,0,0
0,1,0,0
0,0,1,0
0,1,0,0
0,0,1,0
1,1,1,1
0,0,0,0
1,0,1,1
0,1,1,0
0,1,0,0
1,0,0,1
1,1,0,1
1,0,0,1
1,0,0,1
1,0,1,1
0,1,0,0
1,1,1,1
1,1,1,1
1,0,0,1
1,1,0,1
0,1,1,0
0,1,1,0
1,0,0,1
0,1,0,0
1,1,1,1
0,1,0,0
0,0,1,0
1,0,1,1
0,0,1,0
0,0,0,0
1,0,0,1
1,0,1,1
1,1,0,1
1,0,0,1
0,1,0,0
1,1,0,1
0,1,0,0
1,1,0,1
0,1,0,0
0,1,1,0
1,1,1,1
1,1,1,1
0,1,1,0
0,1,1,0
1,0,0,1
0,0,0,0
0,0,1,0
0,1,0,0
0,1,1,0
0,0,0,0
0,0,0,0
0,0,0,0
0,1,0,0
0,0,1,0
1,0,1,1
0,1,1,0
0,1,1,0
1,1,1,1
1,1,1,1
0,1,0,0
0,1,1,0
1,0,0,1
1,0,0,1
0,0,0,0
0,0,0,0
1,0,0,1
0,1,1,0
1,0,1,1
0,1,1,0
0,1,0,0
1,1,0,1
0,1,0,0
1,1,1,1
1,0,0,1
1,1,1,1
1,0,0,1
0,1,0,0
0,0,1,0
0,1,1,0
0,1,1,0
1,1,1,1
0,1,1,0
1,1,0,1
1,0,0,1
0,0,1,0
0,0,0,0
0,0,0,0
1,0,1,1
0,1,1,0
0,0,1,0
0,1,1,0
1,1,1,1
0,0,0,0
0,0,1,0
1,0,0,1
0,1,1,0
0,1,1,0
1,0,0,1
0,0,1,0
1,0,1,1
0,0,1,0
1,0,0,1
0,0,0,0
1,1,1,1
1,1,0,1
1,0,0,1
1,1,0,1
1,1,1,1
1,0,0,1
0,1,1,0
0,1,1,0
1,1,1,1
1,1,1,1
1,0,0,1
1,1,0,1
0,1,0,0
0,1,1,0
1,0,0,1
0,0,1,0
1,0,0,1
1,1,0,1
1,0,1,1
0,1,0,0
0,1,1,0
0,0,1,0
1,1,1,1
0,1,0,0
1,1,1,1
1,0,1,1
0,0,1,0
1,1,0,1
1,0,1,1
0,0,0,0
1,0,1,1
1,0,1,1
1,0,0,1
0,0,1,0
1,1,1,1
1,1,0,1
0,1,1,0
1,1,0,1
0,1,1,0
0,1,1,0
1,1,0,1
1,1,1,1
0,0,1,0
0,0,0,0
